Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,16.620001,17.044001,16.620001,17.044001,17.044001,24
2015-04-02,16.686001,16.686001,16.686001,16.686001,16.686001,50
2015-04-05,null,null,null,null,null,null
2015-04-06,17.035000,17.094999,17.035000,17.094999,17.094999,0
2015-04-07,16.825001,16.825001,16.825001,16.825001,16.825001,17
2015-04-08,16.440001,16.440001,16.440001,16.440001,16.440001,200
2015-04-09,16.164000,16.164000,16.164000,16.164000,16.164000,0
2015-04-10,16.370001,16.400000,16.370001,16.370001,16.370001,99
2015-04-12,null,null,null,null,null,null
2015-04-13,16.280001,16.280001,16.280001,16.280001,16.280001,5
2015-04-14,16.150999,16.150999,16.150999,16.150999,16.150999,0
2015-04-15,16.268999,16.268999,16.268999,16.268999,16.268999,23
2015-04-16,16.150000,16.285000,16.150000,16.275999,16.275999,0
2015-04-17,16.221001,16.221001,16.221001,16.221001,16.221001,12
2015-04-19,null,null,null,null,null,null
2015-04-20,15.883000,15.883000,15.883000,15.883000,15.883000,0
2015-04-21,15.920000,16.002001,15.920000,16.002001,16.002001,0
2015-04-22,15.791000,15.791000,15.791000,15.791000,15.791000,1
2015-04-23,15.824000,15.824000,15.824000,15.824000,15.824000,0
2015-04-24,15.631000,15.631000,15.631000,15.631000,15.631000,0
2015-04-26,null,null,null,null,null,null
2015-04-27,15.935000,16.389999,15.935000,16.389999,16.389999,0
2015-04-28,16.587000,16.587000,16.587000,16.587000,16.587000,70
2015-04-29,16.570000,16.684999,16.385000,16.670000,16.670000,60635
2015-04-30,16.545000,16.700001,15.815000,16.124001,16.124001,16432
2015-05-01,16.090000,16.190001,15.905000,16.111000,16.111000,2479
2015-05-03,null,null,null,null,null,null
2015-05-04,16.150000,16.695000,16.150000,16.417999,16.417999,733
2015-05-05,16.389999,16.570000,16.350000,16.556999,16.556999,71
2015-05-06,16.520000,16.545000,16.379999,16.483999,16.483999,47
2015-05-07,16.330000,16.330000,16.230000,16.271999,16.271999,98
2015-05-08,16.370001,16.455000,16.320000,16.441999,16.441999,101
2015-05-10,null,null,null,null,null,null
2015-05-11,16.475000,16.475000,16.215000,16.298000,16.298000,67
2015-05-12,16.465000,16.540001,16.305000,16.510000,16.510000,242
2015-05-13,16.525000,17.207001,16.525000,17.207001,17.207001,28
2015-05-14,17.125000,17.448999,17.125000,17.448999,17.448999,137
2015-05-15,17.485001,17.545000,17.334999,17.545000,17.545000,15
2015-05-17,null,null,null,null,null,null
2015-05-18,17.620001,17.712000,17.594999,17.712000,17.712000,44
2015-05-19,17.465000,17.465000,16.905001,17.049999,17.049999,215
2015-05-20,17.091999,17.100000,17.091999,17.091999,17.091999,24
2015-05-21,17.065001,17.184999,17.065001,17.111000,17.111000,8
2015-05-22,17.030001,17.090000,17.030001,17.030001,17.030001,11
2015-05-24,null,null,null,null,null,null
2015-05-26,16.995001,17.080000,16.733999,16.733999,16.733999,15
2015-05-27,16.650000,16.695000,16.638000,16.638000,16.638000,114
2015-05-28,16.665001,16.750000,16.555000,16.653000,16.653000,94
2015-05-29,16.684999,16.690001,16.670000,16.684000,16.684000,73
2015-05-31,null,null,null,null,null,null
2015-06-01,16.635000,17.100000,16.615000,16.664000,16.664000,24
2015-06-02,16.783001,16.783001,16.783001,16.783001,16.783001,24
2015-06-03,16.375000,16.464001,16.370001,16.464001,16.464001,0
2015-06-04,16.115000,16.135000,16.089001,16.089001,16.089001,2
2015-06-05,15.980000,16.059999,15.940000,15.971000,15.971000,11
2015-06-07,null,null,null,null,null,null
2015-06-08,16.035000,16.059999,15.900000,15.951000,15.951000,14
2015-06-09,15.970000,15.970000,15.949000,15.949000,15.949000,16
2015-06-10,15.952000,15.952000,15.952000,15.952000,15.952000,1
2015-06-11,15.945000,15.953000,15.945000,15.953000,15.953000,0
2015-06-12,15.995000,15.995000,15.818000,15.818000,15.818000,5
2015-06-14,null,null,null,null,null,null
2015-06-15,16.200001,16.200001,16.076000,16.076000,16.076000,5
2015-06-16,15.958000,15.958000,15.958000,15.958000,15.958000,2
2015-06-17,15.940000,15.940000,15.940000,15.940000,15.940000,0
2015-06-18,16.148001,16.148001,16.148001,16.148001,16.148001,2
2015-06-19,16.104000,16.104000,16.104000,16.104000,16.104000,46
2015-06-21,null,null,null,null,null,null
2015-06-22,16.100000,16.136999,16.100000,16.136999,16.136999,0
2015-06-23,15.790000,15.825000,15.732000,15.732000,15.732000,1
2015-06-24,15.840000,15.855000,15.840000,15.848000,15.848000,4
2015-06-25,15.805000,15.805000,15.805000,15.805000,15.805000,21
2015-06-26,15.725000,15.735000,15.725000,15.735000,15.735000,1
2015-06-28,null,null,null,null,null,null
2015-06-29,15.935000,15.995000,15.635000,15.664000,15.664000,56759
2015-06-30,15.725000,15.770000,15.420000,15.551000,15.551000,19508
2015-07-01,15.635000,15.640000,15.490000,15.552000,15.552000,1989
2015-07-02,15.470000,15.695000,15.445000,15.537000,15.537000,220
2015-07-05,null,null,null,null,null,null
2015-07-06,15.655000,15.726000,15.485000,15.726000,15.726000,257
2015-07-07,15.595000,15.595000,14.805000,14.950000,14.950000,87
2015-07-08,15.045000,15.147000,14.740000,15.147000,15.147000,1041
2015-07-09,15.140000,15.440000,15.140000,15.345000,15.345000,109
2015-07-10,15.330000,15.585000,15.330000,15.468000,15.468000,366
2015-07-12,null,null,null,null,null,null
2015-07-13,15.495000,15.495000,15.300000,15.436000,15.436000,51
2015-07-14,15.360000,15.380000,15.295000,15.295000,15.295000,152
2015-07-15,15.045000,15.045000,14.990000,15.028000,15.028000,27
2015-07-16,14.990000,14.990000,14.964000,14.964000,14.964000,86
2015-07-17,14.935000,14.935000,14.820000,14.820000,14.820000,12
2015-07-19,null,null,null,null,null,null
2015-07-20,14.715000,14.905000,14.485000,14.745000,14.745000,62
2015-07-21,14.615000,14.835000,14.615000,14.769000,14.769000,46
2015-07-22,14.714000,14.714000,14.714000,14.714000,14.714000,102
2015-07-23,14.683000,14.683000,14.635000,14.683000,14.683000,10
2015-07-24,14.595000,14.630000,14.330000,14.477000,14.477000,172
2015-07-26,null,null,null,null,null,null
2015-07-27,14.610000,14.650000,14.560000,14.594000,14.594000,29
2015-07-28,14.640000,14.640000,14.631000,14.631000,14.631000,18
2015-07-29,14.640000,14.734000,14.640000,14.734000,14.734000,168
2015-07-30,14.750000,14.785000,14.630000,14.691000,14.691000,206
2015-07-31,14.855000,14.865000,14.746000,14.746000,14.746000,39
2015-08-02,null,null,null,null,null,null
2015-08-03,14.730000,14.730000,14.415000,14.516000,14.516000,101
2015-08-04,14.605000,14.605000,14.550000,14.550000,14.550000,131
2015-08-05,14.546000,14.546000,14.546000,14.546000,14.546000,119
2015-08-06,14.670000,14.670000,14.670000,14.670000,14.670000,1
2015-08-07,14.816000,14.816000,14.816000,14.816000,14.816000,0
2015-08-09,null,null,null,null,null,null
2015-08-10,14.890000,15.335000,14.890000,15.289000,15.289000,16
2015-08-11,15.220000,15.281000,15.220000,15.281000,15.281000,6
2015-08-12,15.480000,15.510000,15.473000,15.473000,15.473000,15
2015-08-13,15.396000,15.396000,15.396000,15.396000,15.396000,4
2015-08-14,15.210000,15.210000,15.175000,15.210000,15.210000,0
2015-08-16,null,null,null,null,null,null
2015-08-17,15.295000,15.295000,15.295000,15.295000,15.295000,1
2015-08-18,14.787000,14.787000,14.787000,14.787000,14.787000,0
2015-08-19,15.176000,15.176000,15.176000,15.176000,15.176000,0
2015-08-20,15.465000,15.517000,15.465000,15.517000,15.517000,0
2015-08-21,15.301000,15.301000,15.301000,15.301000,15.301000,252
2015-08-23,null,null,null,null,null,null
2015-08-24,14.762000,14.762000,14.762000,14.762000,14.762000,0
2015-08-25,14.610000,14.655000,14.610000,14.610000,14.610000,9
2015-08-26,14.665000,14.700000,14.045000,14.045000,14.045000,13
2015-08-27,14.185000,14.421000,14.130000,14.421000,14.421000,35
2015-08-28,14.470000,14.650000,14.340000,14.535000,14.535000,59871
2015-08-30,null,null,null,null,null,null
2015-08-31,14.510000,14.635000,14.390000,14.577000,14.577000,13209
2015-09-01,14.620000,14.715000,14.515000,14.613000,14.613000,1441
2015-09-02,14.535000,14.810000,14.445000,14.661000,14.661000,779
2015-09-03,14.740000,14.925000,14.555000,14.702000,14.702000,382
2015-09-04,14.670000,14.810000,14.500000,14.544000,14.544000,123
2015-09-06,null,null,null,null,null,null
2015-09-08,14.630000,14.855000,14.440000,14.750000,14.750000,120
2015-09-09,14.790000,14.865000,14.565000,14.568000,14.568000,233
2015-09-10,14.575000,14.815000,14.565000,14.634000,14.634000,85
2015-09-11,14.700000,14.705000,14.280000,14.490000,14.490000,155
2015-09-13,null,null,null,null,null,null
2015-09-14,14.510000,14.535000,14.355000,14.357000,14.357000,47
2015-09-15,14.375000,14.375000,14.265000,14.319000,14.319000,33
2015-09-16,14.510000,14.900000,14.510000,14.878000,14.878000,24
2015-09-17,14.905000,15.205000,14.850000,14.975000,14.975000,25
2015-09-18,15.265000,15.265000,15.154000,15.154000,15.154000,28
2015-09-20,null,null,null,null,null,null
2015-09-21,15.150000,15.235000,15.150000,15.216000,15.216000,3
2015-09-22,14.770000,14.790000,14.750000,14.750000,14.750000,57
2015-09-23,14.740000,14.840000,14.740000,14.780000,14.780000,37
2015-09-24,14.745000,15.125000,14.745000,15.125000,15.125000,12
